27.0,61.0,23.0,95.0
27.0,61.0,23.0,95.0
27.0,59.0,23.0,95.0
27.0,61.0,23.0,95.0
27.0,61.0,23.0,95.0
27.0,61.0,23.0,95.0
27.0,61.0,23.0,95.0
27.0,61.0,23.0,95.0
27.0,61.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,60.0,23.0,95.0
27.0,60.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,60.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,60.0,23.0,95.0
27.0,60.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,61.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,63.0,23.0,95.0
27.0,63.0,23.0,95.0
27.0,61.0,23.0,95.0
27.0,63.0,23.0,95.0
27.0,63.0,23.0,95.0
27.0,63.0,23.0,95.0
27.0,63.0,23.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,23.0,95.0
27.0,64.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,64.0,23.0,95.0
27.0,64.0,23.0,95.0
27.0,64.0,23.0,95.0
27.0,64.0,23.0,95.0
27.0,62.0,23.0,95.0
27.0,65.0,23.0,95.0
27.0,65.0,23.0,95.0
27.0,65.0,23.0,95.0
27.0,65.0,23.0,95.0
27.0,63.0,23.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,23.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,23.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,23.0,95.0
27.0,66.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,66.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,65.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,64.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,62.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,61.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
27.0,63.0,24.0,95.0
28.0,63.0,24.0,95.0
29.0,51.0,24.0,95.0
29.0,49.0,24.0,95.0
31.0,49.0,24.0,95.0
32.0,42.0,24.0,95.0
32.0,40.0,24.0,95.0
32.0,41.0,24.0,95.0
33.0,44.0,24.0,95.0
32.0,46.0,24.0,95.0
32.0,45.0,24.0,95.0
32.0,43.0,24.0,95.0
33.0,44.0,24.0,95.0
32.0,45.0,24.0,95.0
32.0,46.0,24.0,95.0
32.0,45.0,24.0,95.0
32.0,42.0,25.0,95.0
32.0,44.0,24.0,95.0
32.0,45.0,24.0,95.0
32.0,45.0,25.0,95.0
32.0,45.0,25.0,95.0
32.0,44.0,25.0,95.0
32.0,44.0,25.0,95.0
32.0,43.0,25.0,95.0
32.0,41.0,25.0,95.0
32.0,42.0,25.0,95.0
32.0,42.0,25.0,95.0
33.0,45.0,25.0,95.0
33.0,43.0,25.0,95.0
33.0,42.0,25.0,95.0
32.0,44.0,25.0,95.0
32.0,41.0,25.0,95.0
33.0,42.0,25.0,95.0
33.0,43.0,25.0,95.0
33.0,44.0,25.0,95.0
32.0,45.0,25.0,95.0
32.0,43.0,25.0,95.0
31.0,47.0,25.0,95.0
32.0,47.0,25.0,95.0
31.0,48.0,26.0,95.0
31.0,49.0,26.0,95.0
32.0,45.0,26.0,95.0
32.0,43.0,26.0,95.0
32.0,44.0,26.0,95.0
32.0,42.0,26.0,95.0
33.0,47.0,26.0,95.0
33.0,45.0,26.0,95.0
32.0,45.0,26.0,95.0
32.0,45.0,26.0,95.0
33.0,46.0,26.0,95.0
33.0,44.0,26.0,95.0
33.0,45.0,26.0,95.0
33.0,45.0,26.0,95.0
33.0,46.0,26.0,95.0
33.0,45.0,26.0,95.0
33.0,45.0,26.0,95.0
33.0,44.0,26.0,95.0
33.0,42.0,26.0,95.0
33.0,46.0,26.0,95.0
33.0,44.0,26.0,95.0
33.0,47.0,26.0,95.0
33.0,45.0,26.0,95.0
33.0,46.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,47.0,27.0,95.0
32.0,47.0,27.0,95.0
32.0,46.0,27.0,95.0
32.0,48.0,27.0,95.0
32.0,45.0,27.0,95.0
33.0,46.0,27.0,95.0
33.0,44.0,27.0,95.0
33.0,43.0,27.0,95.0
33.0,44.0,27.0,95.0
33.0,44.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,43.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,43.0,27.0,95.0
32.0,43.0,27.0,95.0
32.0,41.0,27.0,95.0
33.0,43.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,42.0,27.0,95.0
33.0,44.0,27.0,95.0
33.0,44.0,27.0,95.0
33.0,42.0,27.0,95.0
33.0,45.0,27.0,95.0
32.0,43.0,27.0,95.0
32.0,41.0,27.0,95.0
33.0,43.0,27.0,95.0
33.0,41.0,27.0,95.0
33.0,43.0,27.0,95.0
33.0,43.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,40.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,43.0,27.0,95.0
32.0,43.0,27.0,95.0
33.0,42.0,27.0,95.0
33.0,42.0,27.0,95.0
33.0,42.0,27.0,95.0
32.0,43.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,41.0,27.0,95.0
32.0,40.0,27.0,95.0
32.0,38.0,27.0,95.0
33.0,44.0,27.0,95.0
32.0,46.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,44.0,28.0,95.0
32.0,44.0,27.0,95.0
32.0,46.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,43.0,27.0,95.0
32.0,43.0,28.0,95.0
32.0,45.0,27.0,95.0
32.0,45.0,28.0,95.0
32.0,43.0,28.0,95.0
32.0,45.0,28.0,95.0
32.0,43.0,28.0,95.0
32.0,43.0,28.0,95.0
32.0,41.0,27.0,95.0
32.0,43.0,28.0,95.0
32.0,44.0,28.0,95.0
31.0,45.0,28.0,95.0
31.0,45.0,28.0,95.0
31.0,47.0,28.0,95.0
31.0,46.0,28.0,95.0
31.0,47.0,28.0,95.0
31.0,45.0,27.0,95.0
31.0,45.0,27.0,95.0
31.0,46.0,28.0,95.0
32.0,46.0,28.0,95.0
32.0,46.0,28.0,95.0
31.0,47.0,28.0,95.0
32.0,45.0,28.0,95.0
32.0,45.0,28.0,95.0
32.0,46.0,28.0,95.0
32.0,47.0,28.0,95.0
31.0,46.0,28.0,95.0
31.0,47.0,27.0,95.0
31.0,48.0,28.0,95.0
31.0,47.0,27.0,95.0
31.0,46.0,28.0,95.0
31.0,47.0,27.0,95.0
31.0,48.0,27.0,95.0
31.0,44.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,44.0,28.0,95.0
32.0,45.0,27.0,95.0
32.0,45.0,27.0,95.0
31.0,43.0,27.0,95.0
31.0,47.0,27.0,95.0
31.0,46.0,27.0,95.0
31.0,46.0,27.0,95.0
31.0,47.0,27.0,95.0
31.0,47.0,27.0,95.0
31.0,48.0,27.0,95.0
31.0,48.0,27.0,95.0
31.0,49.0,27.0,95.0
30.0,48.0,27.0,95.0
30.0,49.0,27.0,95.0
30.0,47.0,27.0,95.0
31.0,48.0,27.0,95.0
31.0,49.0,27.0,95.0
31.0,48.0,27.0,95.0
31.0,46.0,27.0,95.0
31.0,49.0,27.0,95.0
31.0,47.0,27.0,95.0
31.0,49.0,27.0,95.0
31.0,49.0,27.0,95.0
31.0,49.0,27.0,95.0
31.0,50.0,27.0,95.0
31.0,48.0,27.0,95.0
31.0,50.0,27.0,95.0
31.0,50.0,27.0,95.0
31.0,48.0,27.0,95.0
31.0,50.0,27.0,95.0
31.0,47.0,27.0,95.0
31.0,44.0,27.0,95.0
31.0,45.0,27.0,95.0
31.0,46.0,27.0,95.0
31.0,48.0,27.0,95.0
31.0,48.0,27.0,95.0
32.0,44.0,27.0,95.0
32.0,41.0,27.0,95.0
32.0,41.0,27.0,95.0
32.0,39.0,27.0,95.0
32.0,42.0,27.0,95.0
32.0,43.0,27.0,95.0
32.0,45.0,27.0,95.0
32.0,46.0,27.0,95.0
31.0,46.0,27.0,95.0
31.0,48.0,27.0,95.0
31.0,49.0,27.0,95.0
31.0,52.0,27.0,95.0
31.0,52.0,27.0,95.0
31.0,56.0,27.0,95.0
31.0,54.0,27.0,95.0
31.0,58.0,27.0,95.0
31.0,57.0,27.0,95.0
31.0,58.0,27.0,95.0
31.0,61.0,27.0,95.0
30.0,59.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,65.0,27.0,95.0
30.0,62.0,27.0,95.0
31.0,65.0,27.0,95.0
31.0,63.0,27.0,95.0
31.0,64.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,58.0,27.0,95.0
30.0,57.0,27.0,95.0
31.0,58.0,27.0,95.0
31.0,57.0,27.0,95.0
31.0,58.0,27.0,95.0
31.0,57.0,27.0,95.0
31.0,54.0,27.0,95.0
31.0,56.0,28.0,95.0
31.0,56.0,27.0,95.0
31.0,56.0,27.0,95.0
31.0,55.0,27.0,95.0
31.0,55.0,27.0,95.0
31.0,53.0,27.0,95.0
31.0,53.0,27.0,95.0
31.0,54.0,27.0,95.0
31.0,52.0,27.0,95.0
31.0,56.0,27.0,95.0
31.0,56.0,27.0,95.0
30.0,56.0,27.0,95.0
30.0,56.0,27.0,95.0
30.0,57.0,28.0,95.0
30.0,57.0,27.0,95.0
31.0,58.0,27.0,95.0
31.0,56.0,27.0,95.0
31.0,58.0,27.0,95.0
30.0,58.0,27.0,95.0
31.0,59.0,27.0,95.0
31.0,57.0,27.0,95.0
31.0,59.0,27.0,95.0
31.0,59.0,27.0,95.0
31.0,59.0,27.0,95.0
31.0,57.0,27.0,95.0
30.0,59.0,27.0,95.0
30.0,60.0,27.0,95.0
30.0,58.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,60.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,59.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,64.0,27.0,95.0
30.0,64.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,60.0,28.0,95.0
30.0,63.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,60.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,60.0,27.0,95.0
30.0,61.0,27.0,95.0
31.0,61.0,27.0,95.0
31.0,60.0,27.0,95.0
31.0,58.0,27.0,95.0
31.0,60.0,27.0,95.0
30.0,59.0,27.0,95.0
30.0,60.0,27.0,95.0
30.0,60.0,27.0,95.0
30.0,60.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,60.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,59.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,63.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,62.0,27.0,95.0
30.0,63.0,27.0,95.0
30.0,63.0,27.0,95.0
30.0,61.0,27.0,95.0
30.0,63.0,27.0,95.0
30.0,64.0,27.0,95.0
30.0,65.0,27.0,95.0
30.0,64.0,27.0,95.0
30.0,65.0,28.0,95.0
30.0,63.0,27.0,95.0
30.0,65.0,27.0,95.0
30.0,66.0,27.0,95.0
30.0,66.0,27.0,95.0
30.0,67.0,28.0,95.0
30.0,67.0,27.0,95.0
30.0,66.0,27.0,95.0
30.0,66.0,27.0,95.0
30.0,65.0,27.0,95.0
30.0,66.0,27.0,95.0
30.0,67.0,27.0,95.0
30.0,66.0,27.0,95.0
30.0,66.0,27.0,95.0
30.0,66.0,27.0,95.0
30.0,63.0,27.0,95.0
29.0,64.0,27.0,95.0
30.0,64.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,65.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,69.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,65.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,69.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,64.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,65.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,65.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,65.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,69.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,65.0,27.0,95.0
29.0,67.0,27.0,95.0
29.0,65.0,27.0,95.0
29.0,66.0,27.0,95.0
29.0,68.0,27.0,95.0
29.0,66.0,27.0,95.0
28.0,65.0,27.0,95.0
28.0,67.0,27.0,95.0
29.0,68.0,27.0,95.0
28.0,67.0,27.0,95.0
28.0,67.0,27.0,95.0
28.0,65.0,27.0,95.0
28.0,65.0,27.0,95.0
28.0,68.0,26.0,95.0
28.0,68.0,27.0,95.0
29.0,69.0,26.0,95.0
29.0,69.0,26.0,95.0
29.0,67.0,27.0,95.0
29.0,67.0,26.0,95.0
29.0,67.0,26.0,95.0
29.0,69.0,26.0,95.0
28.0,68.0,27.0,95.0
28.0,69.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,67.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,67.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,67.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,69.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,68.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,68.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,68.0,26.0,95.0
28.0,68.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,70.0,26.0,95.0
28.0,68.0,26.0,95.0
28.0,70.0,26.0,95.0
27.0,69.0,26.0,95.0
27.0,69.0,26.0,95.0
27.0,69.0,26.0,95.0
28.0,70.0,26.0,95.0
27.0,70.0,26.0,95.0
27.0,70.0,26.0,95.0
27.0,69.0,26.0,95.0
27.0,70.0,26.0,95.0
27.0,69.0,26.0,95.0
27.0,68.0,26.0,95.0
28.0,68.0,26.0,95.0
28.0,67.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,66.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,66.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,68.0,26.0,95.0
27.0,67.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,65.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,65.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,65.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,65.0,25.0,95.0
27.0,66.0,25.0,95.0
27.0,64.0,25.0,95.0
27.0,64.0,25.0,95.0
27.0,66.0,25.0,95.0
27.0,64.0,25.0,95.0
27.0,66.0,25.0,95.0
27.0,66.0,25.0,95.0
27.0,67.0,25.0,95.0
27.0,66.0,25.0,95.0
27.0,68.0,25.0,95.0
27.0,66.0,25.0,95.0
27.0,68.0,25.0,95.0
27.0,69.0,25.0,95.0
27.0,69.0,25.0,95.0
27.0,69.0,25.0,95.0
27.0,69.0,25.0,95.0
27.0,69.0,25.0,95.0
27.0,69.0,25.0,95.0
27.0,69.0,25.0,95.0
27.0,70.0,25.0,95.0
27.0,70.0,25.0,95.0
27.0,70.0,25.0,95.0
27.0,70.0,25.0,95.0
27.0,70.0,25.0,95.0
27.0,70.0,25.0,95.0
27.0,70.0,25.0,95.0
27.0,69.0,25.0,95.0
27.0,68.0,25.0,95.0
27.0,68.0,25.0,95.0
27.0,69.0,25.0,95.0
27.0,67.0,25.0,95.0
26.0,69.0,25.0,95.0
27.0,69.0,25.0,95.0
26.0,69.0,25.0,95.0
26.0,69.0,25.0,95.0
26.0,68.0,25.0,95.0
26.0,66.0,25.0,95.0
27.0,64.0,25.0,95.0
27.0,63.0,25.0,95.0
27.0,64.0,25.0,95.0
26.0,65.0,25.0,95.0
26.0,63.0,25.0,95.0
26.0,65.0,25.0,95.0
26.0,65.0,25.0,95.0
26.0,65.0,25.0,95.0
26.0,65.0,25.0,95.0
27.0,63.0,25.0,95.0
27.0,62.0,25.0,95.0
27.0,61.0,25.0,95.0
27.0,61.0,25.0,95.0
27.0,62.0,25.0,95.0
27.0,61.0,25.0,95.0
27.0,59.0,25.0,95.0
27.0,61.0,24.0,95.0
26.0,62.0,24.0,95.0
27.0,61.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,64.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,62.0,24.0,95.0
26.0,63.0,24.0,95.0
26.0,62.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,60.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,59.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,60.0,24.0,95.0
26.0,60.0,24.0,95.0
26.0,60.0,24.0,95.0
26.0,60.0,24.0,95.0
26.0,60.0,24.0,95.0
26.0,60.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,59.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
26.0,61.0,24.0,95.0
25.0,60.0,24.0,95.0
25.0,60.0,24.0,95.0
26.0,57.0,24.0,95.0
26.0,57.0,24.0,95.0
26.0,59.0,24.0,95.0
26.0,58.0,24.0,95.0
26.0,56.0,24.0,95.0
26.0,59.0,23.0,95.0
26.0,59.0,24.0,95.0
26.0,60.0,24.0,95.0
25.0,58.0,23.0,95.0
26.0,56.0,24.0,95.0
26.0,56.0,24.0,95.0
26.0,58.0,24.0,95.0
26.0,58.0,23.0,95.0
26.0,58.0,24.0,95.0
26.0,58.0,23.0,95.0
26.0,58.0,23.0,95.0
26.0,59.0,23.0,95.0
26.0,59.0,23.0,95.0
